role,tier,sample_index,distance_mahal,distance_mahal_recovered,disagreement,sem_lo,sem_hi
scatter,id,157,12.46950912475586,12.469523332567608,0.20668703329442994,,
scatter,id,142,6.500361919403076,6.500366937164735,0.07193558821129442,,
scatter,id,7103,21.51974105834961,21.51977565347283,0.4405069329984174,,
scatter,id,465,6.395827770233154,6.395830755177148,0.055310611798770254,,
scatter,id,6903,7.380636215209961,7.380641332866549,0.07356946689066654,,
scatter,id,1910,14.560649871826172,14.560668760999446,0.41668271192658246,,
scatter,id,5192,14.927135467529297,14.927150835514562,0.2603952850898099,,
scatter,id,5234,5.476432800292969,5.476434036767255,0.04964282230198316,,
scatter,id,8267,6.791718006134033,6.791721446018814,0.08754718932926212,,
scatter,id,4692,12.966484069824219,12.966499647820724,0.1867052911446945,,
scatter,id,9110,10.26037311553955,10.260386493288742,0.16644843218878827,,
scatter,id,5089,11.289958000183105,11.289974809987994,0.1551871688030729,,
scatter,id,8747,59.86185836791992,59.86204746852692,0.7783098061529934,,
scatter,id,9133,9.02811050415039,9.028128592772822,0.12288181207103833,,
scatter,id,8034,13.642992973327637,13.643024582004461,0.43950037174240386,,
scatter,id,2254,21.326936721801758,21.32699668190649,0.45851664980608775,,
scatter,id,7381,9.418756484985352,9.418779377441885,0.12031930770148745,,
scatter,id,4048,16.056921005249023,16.056961579324916,0.30296471325454283,,
scatter,id,8510,22.740253448486328,22.74031896819292,0.31275201492794047,,
scatter,id,398,15.762057304382324,15.762094415346771,0.3542282157839419,,
scatter,id,4983,17.615436553955078,17.615480066873946,0.3866943412378488,,
scatter,id,5961,8.143637657165527,8.143651424445524,0.09765964840438025,,
scatter,id,583,21.574495315551758,21.574545320441043,0.30667453136375966,,
scatter,id,393,6.641871929168701,6.641881940368988,0.07588091652765132,,
scatter,id,7247,6.631515979766846,6.631527780822622,0.07784868309562704,,
scatter,id,7657,5.89928674697876,5.899295896421132,0.08645651728498427,,
scatter,id,3171,14.640532493591309,14.640565615299277,0.23322089938060217,,
scatter,id,3627,8.02132511138916,8.02134107443793,0.10888215694588269,,
scatter,id,6894,8.133259773254395,8.133275543180618,0.11709648040938568,,
scatter,id,8488,15.344461441040039,15.34449978411627,0.31372450599123936,,
scatter,id,5027,23.155092239379883,23.155161089236127,0.4373875939166864,,
scatter,id,5582,23.232318878173828,23.232387495271997,0.5391228396376018,,
scatter,id,3039,11.654555320739746,11.654585499425671,0.1619707571112649,,
scatter,id,4651,9.677412033081055,9.677437119158691,0.09794094043298061,,
scatter,id,596,8.162017822265625,8.162040115359844,0.08797604788005782,,
scatter,id,2218,12.78738784790039,12.78742773819899,0.18583692710787977,,
scatter,id,5018,19.488187789916992,19.488257889203773,0.38495165088049427,,
scatter,id,8301,10.929586410522461,10.929623655813693,0.13719320945953306,,
scatter,id,7914,11.243365287780762,11.243405567980677,0.1604599570030745,,
scatter,id,888,8.957310676574707,8.957343415839091,0.12564107180351633,,
scatter,id,5505,11.447813034057617,11.447854736512678,0.18509973331301646,,
scatter,id,5812,12.557320594787598,12.557364294041626,0.20080673097058518,,
scatter,id,2264,12.737585067749023,12.73763139889371,0.22444974120491906,,
scatter,id,7996,5.691357135772705,5.691373397106371,0.05699580870591881,,
scatter,id,9209,8.515533447265625,8.515559780337526,0.1128751835320401,,
scatter,id,3892,10.770416259765625,10.770451990309938,0.16516696706530834,,
scatter,id,8370,15.295625686645508,15.295683240244289,0.17882911434388446,,
scatter,id,771,12.167844772338867,12.167890188410873,0.2407851209793687,,
scatter,id,1922,16.35419273376465,16.354256732900645,0.23501490796573316,,
